company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
SQUEEZEPLAY SPORTS CRDS INC,13422 GRANADA ST,,HOUSTON,TX,770,77015,3811,3,59429905,COMIC BOOKS,,,,,,
R & R COMICS,13447 WOODFOREST BLVD,,HOUSTON,TX,770,77015,2904,3,59429905,COMIC BOOKS,,,,,,
EAST SIDE COMICS,13449 WOODFOREST BLVD,,HOUSTON,TX,770,77015,2904,3,59429905,COMIC BOOKS,,,,,,
PORTAL,137 HISTORIC TOWN SQ,,LANCASTER,TX,751,75146,3226,3,59429905,COMIC BOOKS,,,,,,
MIDNIGHT COMICS & GAMES,13711 WESTHEIMER RD,,HOUSTON,TX,770,77077,5304,4,59429905,COMIC BOOKS,59999900,,45120000,"AIR TRANSPORTATION, SCHEDULED",,
GOOD TIMES CARDS & COMICS,1406 N LOOP 336 W,,CONROE,TX,773,77304,3591,4,59429905,COMIC BOOKS,59479903,,,,,
ALLSTAR COMICS CARDS & GAMES,1408 SAN JACINTO MALL,,BAYTOWN,TX,775,77521,8359,3,59429905,COMIC BOOKS,50920201,BINGO GAMES AND SUPPLIES,,,,
ERIE COMICS,14313 TERISU LN,,AUSTIN,TX,787,78728,6884,3,59429905,COMIC BOOKS,,,,,,
CLASSIC COMICS INC,1440 HALSEY WAY STE 114,,CARROLLTON,TX,750,75007,4445,3,59429905,COMIC BOOKS,,,,,,
COMIC BOOK PEDIGREES,1440 HALSEY WAY STE 114,,CARROLLTON,TX,750,75007,4445,3,51929905,COMIC BOOKS,,,,,,
COMIC CON GIRL LLC,14801 QUORUM DR STE 500,,DALLAS,TX,752,75254,1449,3,59429905,COMIC BOOKS,,,,,,
LYTLES COMICS & GAMES,1500 HARVEY RD STE 9016,,COLLEGE STATION,TX,778,77840,3702,3,59429905,COMIC BOOKS,,,,,,
COMIC BOOK SKETCH COVERS,1522 SLEEPY HOLLOW DR,,ALLEN,TX,750,75002,926,3,51929905,COMIC BOOKS,,,,,,
C F W ENTERPRISES LLC,1599 HICKS ST STE 1,,TOMBALL,TX,773,77375,4289,3,59429905,COMIC BOOKS,,,,,,
ROGUES GALLERY COMICS & GAMES,1601 S INTERSTATE 35 STE 360,,ROUND ROCK,TX,786,78664,6603,3,59429905,COMIC BOOKS,,,,,,
UPLIFT COMICS,1605 SAINT CHARLES ST,,HOUSTON,TX,770,77003,5211,3,59429905,COMIC BOOKS,,,,,,
HEWELTS COMICS,16402 KLEINWOOD DR,,SPRING,TX,773,77379,7230,3,59429905,COMIC BOOKS,,,,,,
SOURCE COMICS & GAMES,16920 KUYKENDAHL RD,,HOUSTON,TX,770,77068,1639,4,59429905,COMIC BOOKS,,,,,,
CAPSTONE COMICS,1745 W ANDERSON LN,,AUSTIN,TX,787,78757,1335,3,59429905,COMIC BOOKS,,,,,,
KEITH'S COMICS 4,17610 MIDWAY RD,,DALLAS,TX,752,75287,6777,4,59429905,COMIC BOOKS,,,,,,
MAGGIORE REALTY,18 CROWN PL,,RICHARDSON,TX,750,75080,1603,3,51929905,COMIC BOOKS,65319900,,,,,
EVIL INK,1801 N COUNTY RD W,,ODESSA,TX,797,79763,2854,4,51929905,COMIC BOOKS,,,,,,
